#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.55804,46,7.208454,-52.07671104527855,-1.9767110452785461,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.4689555,19,7.232674,-51.28922882304758,-1.189228823047582,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.61718,7,7.243221,-52.79369794840007,-2.7936979484000677,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5142875,21,7.269145,-51.86763324454462,-1.867633244544626,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.61719,75,7.355654,-52.609415313340016,-2.509415313340014,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7532935,111,7.482708,-53.48830191575849,-3.3883019157584915,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.9309087,41,7.531819,-55.09536557588041,-5.095365575880406,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.766675,32,7.572399,-53.56510062905541,-3.4651006290554056,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.5499096,21,7.598655,-51.58838560195143,-1.5883856019514315,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.590253,23,7.627047,-51.992196309089735,-1.8921963090897371,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.691929,27,7.660388,-52.95556698930578,-2.955566989305778,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.519782,22,7.687801,-51.385752574500835,-1.3857525745008363,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.871265,52,7.749005,-54.556117857219746,-4.456117857219754,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.873134,14,7.76789,-54.6616935193372,-4.561693519337203,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.528118,25,7.798893,-51.47494742916324,-1.4749474291632394,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.735186,38,7.844668,-53.36651176200674,-3.0665117620067353,0.0,0.0,0.0,0.0,0.0,1,-0.30000000000000004
-5.785632,15,7.865813,-53.91116691000057,-3.911166910000569,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6450515,22,7.892658,-52.641131236147075,-2.541131236147078,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.751071,33,7.932643,-53.61930339603966,-3.619303396039661,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.56456,22,7.960567,-51.913413043745564,-1.8134130437455651,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.853423,28,7.994711,-54.62639050138763,-4.626390501387629,0.0,0.0,0.0,0.0,0.0,1,0.0
